ParticipantId,Formatted_time,Batterylevel
4264.0,2020-12-10 19:15:11,43
4264.0,2020-12-10 19:15:26,43
4264.0,2020-12-10 19:15:42,43
4264.0,2020-12-10 19:15:57,43
4264.0,2020-12-10 19:16:12,43
4264.0,2020-12-10 19:16:29,43
4264.0,2020-12-10 19:16:44,43
4264.0,2020-12-10 19:16:59,43
4264.0,2020-12-10 19:17:14,43
4264.0,2020-12-10 19:17:29,43
2704.0,2020-12-11 16:47:54,56
4264.0,2020-12-10 02:22:41,46
4264.0,2020-12-10 02:22:58,46
4264.0,2020-12-10 02:23:13,46
4264.0,2020-12-10 02:23:28,46
4264.0,2020-12-10 02:23:43,46
4264.0,2020-12-10 02:23:58,46
4264.0,2020-12-10 02:24:13,46
4264.0,2020-12-10 02:24:30,45
4264.0,2020-12-10 02:24:45,45
4264.0,2020-12-10 02:25:01,45
4264.0,2020-12-10 02:25:16,45
4264.0,2020-12-10 02:25:31,45
4264.0,2020-12-10 02:25:46,45
4264.0,2020-12-10 02:26:03,45
4264.0,2020-12-10 02:26:18,45
4264.0,2020-12-10 02:26:33,45
4264.0,2020-12-10 02:26:48,45
